beach_id,observation_time,wave_height,max_height,min_height
1,2004-02-10 09:00:00,1.5,2.0,1.0
1,2004-02-13 10:00:00,4.0,4.0,4.0
1,2004-01-08 11:00:00,7.0,8.0,6.0
1,2004-01-14 11:00:00,6.0,6.0,6.0
1,2004-01-17 10:00:00,4.0,4.0,4.0
1,2004-01-19 11:00:00,3.5,4.0,3.0
1,2004-01-24 11:00:00,3.0,3.0,3.0
1,2004-01-25 14:00:00,3.0,3.0,3.0
1,2004-01-26 11:00:00,1.0,1.0,1.0
1,2004-01-27 11:00:00,0.0,0.0,0.0
1,2004-01-29 11:00:00,2.0,2.0,2.0
1,2004-02-05 11:00:00,4.0,4.0,4.0
1,2004-01-11 11:00:00,8.0,8.0,8.0
1,2004-02-03 10:00:00,6.0,6.0,6.0
1,2004-02-04 11:00:00,3.0,3.0,3.0
1,2004-02-15 14:00:00,4.5,5.0,4.0
1,2004-02-17 10:00:00,0.5,0.5,0.5
1,2004-02-20 10:00:00,0.5,0.5,0.5
1,2004-02-22 10:00:00,0.0,0.0,0.0
1,2004-03-26 10:00:00,0.5,0.5,0.5
1,2004-02-24 10:00:00,0.75,1.0,0.5
1,2004-02-25 14:00:00,0.75,1.0,0.5
1,2004-02-26 10:00:00,0.0,0.0,0.0
1,2004-02-27 10:00:00,0.0,0.0,0.0
1,2004-02-29 10:00:00,0.0,0.0,0.0
1,2004-03-03 10:00:00,3.0,3.0,3.0
1,2004-03-04 10:00:00,3.0,3.0,3.0
1,2004-03-05 09:00:00,3.0,3.0,3.0
1,2004-03-08 10:00:00,1.0,1.0,1.0
1,2004-03-10 10:00:00,1.5,2.0,1.0
1,2004-03-11 10:00:00,3.5,4.0,3.0
1,2004-03-12 10:00:00,8.0,8.0,8.0
1,2004-03-13 10:00:00,4.0,4.0,4.0
1,2004-03-14 10:00:00,6.0,6.0,6.0
1,2004-03-16 11:00:00,4.0,4.0,4.0
1,2004-03-17 10:00:00,4.0,4.0,4.0
1,2004-03-18 10:00:00,3.0,3.0,3.0
1,2004-03-21 11:00:00,6.0,6.0,6.0
1,2004-03-24 16:00:00,0.5,0.5,0.5
1,2004-03-25 11:00:00,2.0,2.0,2.0
1,2004-03-27 10:00:00,0.5,0.5,0.5
1,2004-03-28 10:00:00,1.0,1.0,1.0
1,2004-03-28 12:00:00,2.0,2.0,2.0
1,2004-03-29 11:00:00,2.0,2.0,2.0
1,2004-03-30 15:00:00,2.0,2.0,2.0
1,2004-03-31 10:00:00,2.0,2.0,2.0
1,2004-04-01 10:00:00,1.0,1.0,1.0
1,2004-04-02 10:00:00,1.0,1.0,1.0
1,2004-04-03 16:00:00,2.0,2.0,2.0
1,2004-04-04 10:00:00,2.5,3.0,2.0
1,2004-04-06 11:00:00,1.5,2.0,1.0
1,2004-04-08 10:00:00,0.5,0.5,0.5
1,2004-04-10 10:00:00,0.0,0.0,0.0
1,2004-04-11 13:00:00,1.0,1.0,1.0
1,2004-04-12 11:00:00,1.0,1.0,1.0
1,2004-04-13 10:00:00,1.0,1.0,1.0
1,2004-04-15 10:00:00,2.0,2.0,2.0
1,2004-04-17 10:00:00,2.0,2.0,2.0
1,2004-04-19 11:00:00,4.0,4.0,4.0
1,2004-04-20 11:00:00,1.0,1.0,1.0
1,2004-04-23 17:00:00,2.5,3.0,2.0
1,2004-04-26 11:00:00,2.0,2.0,2.0
1,2004-04-27 10:00:00,2.5,3.0,2.0
1,2004-04-29 10:00:00,1.0,1.0,1.0
1,2004-05-01 10:00:00,0.75,1.0,0.5
1,2004-05-02 10:00:00,0.0,0.0,0.0
1,2004-05-03 10:00:00,1.0,1.0,1.0
1,2004-05-05 11:00:00,2.5,3.0,2.0
1,2004-05-06 11:00:00,1.0,1.0,1.0
1,2004-05-07 10:00:00,1.0,1.0,1.0
1,2004-05-08 11:00:00,1.0,1.0,1.0
1,2004-05-10 11:00:00,1.0,1.0,1.0
1,2004-05-14 11:00:00,1.0,1.0,1.0
1,2004-05-16 10:00:00,2.5,3.0,2.0
1,2004-05-17 11:00:00,3.0,3.0,3.0
1,2004-05-18 10:00:00,2.0,2.0,2.0
