beach_id,height,period,direction,hits_at,pred_dtime
1,3.1,11.2,87,2004-03-18 08:00:00,2004-01-01 00:00:00
1,3.4,11.2,83,2004-03-18 07:00:00,2004-01-01 00:00:00
1,2.7,10.4,80,2004-05-17 06:00:00,2004-01-01 00:00:00
1,3.4,11.2,75,2004-03-18 05:00:00,2004-01-01 00:00:00
1,3.4,11.3,78,2004-03-18 03:00:00,2004-01-01 00:00:00
1,3.6,11.4,79,2004-03-18 02:00:00,2004-01-01 00:00:00
1,3.9,11.8,79,2004-03-17 22:00:00,2004-01-01 00:00:00
1,4.3,12.0,78,2004-03-17 18:00:00,2004-01-01 00:00:00
1,4.2,12.0,76,2004-03-17 17:00:00,2004-01-01 00:00:00
1,4.4,12.1,76,2004-03-17 16:00:00,2004-01-01 00:00:00
1,4.4,12.1,75,2004-03-17 15:00:00,2004-01-01 00:00:00
1,5.0,12.7,73,2004-03-17 10:00:00,2004-01-01 00:00:00
1,5.1,13.2,64,2004-03-17 03:00:00,2004-01-01 00:00:00
1,5.3,13.0,60,2004-03-17 01:00:00,2004-01-01 00:00:00
1,2.5,12.1,102,2004-05-28 07:00:00,2004-01-01 00:00:00
1,0.4,17.4,20,2004-05-23 23:00:00,2004-01-01 00:00:00
1,5.5,11.3,57,2004-03-17 00:00:00,2004-01-01 00:00:00
1,5.4,11.0,53,2004-03-16 23:00:00,2004-01-01 00:00:00
1,3.3,11.4,86,2004-03-16 13:00:00,2004-01-01 00:00:00
1,3.2,11.4,87,2004-03-16 11:00:00,2004-01-01 00:00:00
1,3.3,11.4,88,2004-03-16 10:00:00,2004-01-01 00:00:00
1,3.3,11.4,89,2004-03-16 09:00:00,2004-01-01 00:00:00
1,1.5,8.9,99,2004-05-18 23:00:00,2004-01-01 00:00:00
1,1.0,9.1,108,2004-05-24 07:00:00,2004-01-01 00:00:00
1,4.1,11.1,73,2004-03-16 04:00:00,2004-01-01 00:00:00
1,1.2,10.0,76,2004-05-27 06:00:00,2004-01-01 00:00:00
1,0.4,9.2,107,2004-05-24 05:00:00,2004-01-01 00:00:00
1,2.2,10.9,83,2004-03-15 17:00:00,2004-01-01 00:00:00
1,4.9,11.6,80,2004-03-15 14:00:00,2004-01-01 00:00:00
1,5.0,11.7,82,2004-03-15 13:00:00,2004-01-01 00:00:00
1,4.8,11.8,85,2004-03-15 12:00:00,2004-01-01 00:00:00
1,5.1,11.9,88,2004-03-15 10:00:00,2004-01-01 00:00:00
1,5.2,12.0,92,2004-03-15 08:00:00,2004-01-01 00:00:00
1,0.4,9.0,109,2004-05-24 08:00:00,2004-01-01 00:00:00
1,5.6,12.2,96,2004-03-15 06:00:00,2004-01-01 00:00:00
1,5.5,12.4,97,2004-03-15 04:00:00,2004-01-01 00:00:00
1,5.8,12.8,100,2004-03-15 01:00:00,2004-01-01 00:00:00
1,6.2,13.3,100,2004-03-14 19:00:00,2004-01-01 00:00:00
1,6.6,13.5,100,2004-03-14 18:00:00,2004-01-01 00:00:00
1,6.4,14.2,100,2004-03-14 16:00:00,2004-01-01 00:00:00
1,6.7,14.3,96,2004-03-14 13:00:00,2004-01-01 00:00:00
1,6.6,14.3,96,2004-03-14 12:00:00,2004-01-01 00:00:00
1,6.8,14.3,96,2004-03-14 11:00:00,2004-01-01 00:00:00
1,6.9,14.2,96,2004-03-14 09:00:00,2004-01-01 00:00:00
1,6.4,12.7,96,2004-03-14 08:00:00,2004-01-01 00:00:00
1,0.9,10.1,70,2004-05-27 02:00:00,2004-01-01 00:00:00
1,0.5,8.9,111,2004-05-24 11:00:00,2004-01-01 00:00:00
1,4.6,12.3,102,2004-03-14 00:00:00,2004-01-01 00:00:00
1,4.5,12.3,102,2004-03-13 23:00:00,2004-01-01 00:00:00
1,4.6,12.4,103,2004-03-13 20:00:00,2004-01-01 00:00:00
1,4.4,12.9,102,2004-03-13 17:00:00,2004-01-01 00:00:00
1,4.6,13.0,102,2004-03-13 16:00:00,2004-01-01 00:00:00
1,4.3,13.2,101,2004-03-13 14:00:00,2004-01-01 00:00:00
1,5.1,13.3,101,2004-03-13 13:00:00,2004-01-01 00:00:00
1,4.7,13.4,101,2004-03-13 11:00:00,2004-01-01 00:00:00
1,4.8,13.6,101,2004-03-13 08:00:00,2004-01-01 00:00:00
1,4.8,13.6,101,2004-03-13 07:00:00,2004-01-01 00:00:00
1,0.9,8.9,81,2004-06-09 00:00:00,2004-01-01 00:00:00
1,5.6,13.9,97,2004-03-13 00:00:00,2004-01-01 00:00:00
1,5.0,13.8,97,2004-03-12 22:00:00,2004-01-01 00:00:00
1,5.5,13.5,95,2004-03-12 19:00:00,2004-01-01 00:00:00
1,5.7,13.4,94,2004-03-12 18:00:00,2004-01-01 00:00:00
1,6.5,13.3,93,2004-03-12 17:00:00,2004-01-01 00:00:00
1,6.5,13.2,92,2004-03-12 16:00:00,2004-01-01 00:00:00
1,6.5,12.9,90,2004-03-12 14:00:00,2004-01-01 00:00:00
1,0.9,8.9,81,2004-06-09 01:00:00,2004-01-01 00:00:00
1,6.5,12.4,88,2004-03-12 12:00:00,2004-01-01 00:00:00
1,6.5,12.3,87,2004-03-12 11:00:00,2004-01-01 00:00:00
1,1.4,9.0,80,2004-06-04 16:00:00,2004-01-01 00:00:00
1,4.9,11.8,81,2004-03-12 06:00:00,2004-01-01 00:00:00
1,3.0,12.3,96,2004-05-29 01:00:00,2004-01-01 00:00:00
1,4.5,12.0,74,2004-03-12 00:00:00,2004-01-01 00:00:00
1,4.3,12.1,74,2004-03-11 23:00:00,2004-01-01 00:00:00
1,4.5,12.3,72,2004-03-11 21:00:00,2004-01-01 00:00:00
1,4.1,12.9,70,2004-03-11 19:00:00,2004-01-01 00:00:00
1,4.4,13.2,72,2004-03-11 15:00:00,2004-01-01 00:00:00
1,4.0,13.5,75,2004-03-11 12:00:00,2004-01-01 00:00:00
1,3.8,13.8,76,2004-03-11 09:00:00,2004-01-01 00:00:00
1,3.8,13.9,78,2004-03-11 08:00:00,2004-01-01 00:00:00
1,3.6,14.1,78,2004-03-11 07:00:00,2004-01-01 00:00:00
1,3.4,14.3,78,2004-03-11 06:00:00,2004-01-01 00:00:00
1,3.7,14.3,78,2004-03-11 05:00:00,2004-01-01 00:00:00
1,4.4,14.6,76,2004-03-11 02:00:00,2004-01-01 00:00:00
1,5.0,14.6,76,2004-03-11 01:00:00,2004-01-01 00:00:00
1,4.6,15.1,75,2004-03-10 21:00:00,2004-01-01 00:00:00
1,3.5,15.6,73,2004-03-10 19:00:00,2004-01-01 00:00:00
1,2.3,15.8,79,2004-03-10 17:00:00,2004-01-01 00:00:00
1,1.7,15.9,79,2004-03-10 16:00:00,2004-01-01 00:00:00
1,1.3,16.1,81,2004-03-10 15:00:00,2004-01-01 00:00:00
1,2.7,12.1,102,2004-05-28 08:00:00,2004-01-01 00:00:00
1,1.7,9.9,57,2004-03-10 18:00:00,2004-01-01 00:00:00
1,0.6,8.5,115,2004-05-24 16:00:00,2004-01-01 00:00:00
